 ;Manually Marked;Keyword-based Searching;Tool;0: false    1-2-3: true    4:not applicable;;;
The 23 stories/illustrations comes with exciting gif animations and fun sounds along with the pre-recorded English text.;0;1;1;;;;
The menu buttons of this App are designed for toddlers and early readers to easily navigate the menu so they can have the stories read to them while watching the beautiful illustrations.;0;0;0;;;;
With exciting sounds, bright bold artwork and fun gif animations of the Bible stories this Toddler Bible App will be a favourite for toddlers and parents!;0;0;0;;;;
Yours sincerely, Michael Berghof/Publisher Launched in August 2011 by Copenhagen Publishing House, Copenhagen, Denmark;0;0;0;;;;
Copenhagen Publishing focuses on publishing Bible stories for children and we have seen our titles translate into more than 25 languages and they are being sold to over 35 countries.;0;0;0;;;;
Please, read more about us at www.copenhagenpublishing.com and see more Apps available for download.;0;0;0;;;;
WEB: www.copenhagenpublishing.com;0;0;0;;;;
Contact: info@copenhagenpublishing.com Copenhagen Publishing House, Denmark;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##radonsoft.net.rta;0;0;4;;;;
##\APPLICATION\MUSIC_AND_AUDIO\_desc.txt;0;0;4;;;;
Turn your Android phone into a professional audio analyser.;1;1;1;;;;
Supports one, 1/2 and 1/3 octave filter and calibration.;0;0;0;;;;
Displays overall Peak and RMS value for acoustical measurements.;0;0;0;;;;
Measure the frequency response of your audio equipment, identify tones and noises.;1;1;1;;;;
v1.3: Samsung phones fixed Bugs etc: info@radonsoft.net;0;0;0;;;;
Recent changes:;0;0;0;;;;
Dynamic screen sizes added;0;0;0;;;;
various fixes;0;0;0;;;;
Install to SD;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.julian.apps.SoundForm;0;0;4;;;;
##\APPLICATION\MEDIA_AND_VIDEO\_desc.txt;0;0;4;;;;
Soundform generates White and Pink Noise, Sine, Square, Triangle, Ramp waves and Impulses.;0;0;0;;;;
Uses multiple cycled buffers, refreshed randomly, so ensuring truly random White/Pink noise.;0;0;0;;;;
See website for more details.;0;0;0;;;;
Questions or problems?;0;0;0;;;;
Please Email me!;0;0;0;;;;
"If you need a combined Signal Generator and Spectrum Analyzer with dB measurement and RT60, check out my ""AudioTool"" app.";0;1;0;;;;
Recent changes: v2.4.5: Support for small screens;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.beatronik.pocketdjlite;0;0;4;;;;
##\APPLICATION\MUSIC_AND_AUDIO\_desc.txt;0;0;4;;;;
1 Top user's choice on Android with more than 900.000 downloads.;0;0;0;;;;
Join the community!;0;0;0;;;;
Have some fun with this vintage 2 deck DJ turntable and mix your musics with your fingers!;0;0;0;;;;
This DEMO versions has all the full version features but is limited to 5 songs loaded on the 2 desks at the same time.;0;0;0;;;;
Warning;0;0;0;;;;
It is an application for fun and mainly designed for low end phones with low capabilities.;0;0;0;;;;
To keep the best performances with nice graphics some of the features have not been implemented.;0;0;0;;;;
If you have a recent phone and you need advanced features (such as MP3 pitch shift, sync,playlists...) take a look at DJStudio.;0;0;0;;;;
Features;0;0;0;;;;
No ads at all!;0;0;0;;;;
Twin DJ deck on one screen;0;0;0;;;;
MP3 & WAV playback;0;0;0;;;;
Real time pitch shift control on WAV only;0;0;0;;;;
CUE save and recall;0;0;0;;;;
Cross-fading;0;0;0;;;;
Simple loops;0;0;0;;;;
Real time scratch effect;0;0;0;;;;
Possibility to record through mic during 5 mins If you have issues with this program or if you have some question don't hesitate to write us an email.;1;1;1;;;;
tags : music player composer virtual deejay loop pocket disc djing party mixer app;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.mysightwords;0;0;4;;;;
##\APPLICATION\EDUCATION\_desc.txt;0;0;4;;;;
Kids have fun while learning to read.;0;0;0;;;;
My Sight Words helps pre and early readers develop their skills through a fun and kid-friendly interaction with sight words (also known as Dolch words).;0;0;0;;;;
Control/navigation is intuitive with spoken words, audible feedback, voice recognition and three learning modes.;1;1;2;;;;
V2_0 Added ability for user to record their own voice for words.;1;1;1;;;;
Features:;0;0;0;;;;
Optimized for both phone and tablet size displays;0;0;0;;;;
Preloaded with complete sight word lists for readers of various levels (includes the set of classic Dolch word lists and a set of modern sight word lists);0;0;0;;;;
Three learning modes: Intro, Practice, and Quiz;0;0;0;;;;
User can record their own voice for word pronunciation.;1;1;1;;;;
Words are spoken to help learning and pronunciation (if and when words are spoken is controlled by reader and depends on the selected learning mode);0;0;0;;;;
Speech recognition lets readers verify they are pronouncing words correctly.;0;0;0;;;;
(Please, read the advice on how best to introduce this capability to new readers, its use, and its limitations.);0;0;0;;;;
Displays stats about the number of words remaining, hints given, correctly read words, words that needed revisiting, and word list size;0;0;0;;;;
Words appear in random order to ensure recognition and prevent memorization of list;0;0;0;;;;
Words are displayed in fun random colors;0;0;0;;;;
User can select lower case letters or all upper case;0;0;0;;;;
User can configure game play and reader interaction;0;0;0;;;;
"User can set a maximum number of words per learning ""round"" before a reward or break is offered";0;0;0;;;;
In quiz mode, user can specify if speech recognition must be successful before reader gets credit for word;1;0;1;;;;
User can specify if the results of speech recognition (i.e. what the application thinks the reader said) should be displayed to the reader Planned Enhancements:;0;0;0;;;;
User can create and edit their own lists of words.;0;0;0;;;;
Use gestures for navigation and control so reader can tap or slide word in addition to using buttons Please rate this app and let us know what you think.;0;0;0;;;;
To contact us directly: We love to hear from our users.;0;0;0;;;;
Please send your comments and ideas for improvements to mysightwords@gmail.##com.;0;0;0;;;;
Recent changes: v2.0: Added ability to record your own voice for words.;1;1;2;;;;
v1.1: Bug fix.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.openbled.android.selftimer.lite;0;0;4;;;;
##\APPLICATION\PHOTOGRAPHY\_desc.txt;0;0;4;;;;
"Use it to take a photo of yourself (with others ;)) or to reduce the camera shake.";0;0;0;;;;
The self-timer mode can be set from 0s to 1 min.;0;0;0;;;;
Countdown started by pressing the camera button or by making some noise.;1;0;0;;;;
Lite version takes low res pictures (< 1 Mpix) with 80% jpeg quality.;0;0;0;;;;
Buy the full version for best quality pictures !;0;0;0;;;;
Recent changes: 2010/17/12 + Bug fixes for Android Eclair (2.1) and Froyo (2.2).;0;0;0;;;;
Should now work on Nexus One, HTC Evo...;0;0;0;;;;
New design;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##uk.co.bunnyfire.ocarina;0;0;4;;;;
##\APPLICATION\MEDIA_AND_VIDEO\_desc.txt;0;0;4;;;;
WARNING: Requires a phone that can handle at least 4 touch points.;0;0;0;;;;
Should work on: Samsung Galaxy S/Vibrant/Captivate/Epic 4G HTC Desire HD/Z, T-mobile G2 Turn your phone into a instrument!;0;0;0;;;;
Same button layout as a certain other popular Ocarina app.......;0;0;0;;;;
Recent changes: 0.9.3: Fixed bug with touch mode 0.9.2: Added touch mode;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.cellictica.android.trippo;0;0;4;;;;
##\APPLICATION\TRAVEL_AND_LOCAL\_desc.txt;0;0;4;;;;
Translates any phrase and speaks it out in local language.;0;0;0;;;;
Around 30 languages supported.;0;0;0;;;;
No more language problems anywhere you travel!;0;0;0;;;;
Send to SMS/email/twitter/facebook etc.;0;0;0;;;;
Text to Speech TTS with around 20 languages;0;0;0;;;;
speech speed setting (Menu->Settings) Much more than a dictionary!;0;0;0;;;;
Arabic, Chinese, Japanese, English, Spanish, Dutch, Norwegian, French, Italian, Portuguese, Russian, German, Hindi etc.;0;0;0;;;;
you name it.;0;0;0;;;;
Please check also the Youtube video for Trippo VoiceMagix, Speech to speech translator.;0;1;0;;;;
Uses proprietary high quality speech recognition with very high accuracy.;0;0;0;;;;
1.1.5: Support for Droid, Milestone.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##es.rafaeska.android.vader;0;0;4;;;;
##\APPLICATION\MUSIC_AND_AUDIO\_desc.txt;0;0;4;;;;
VaderVoice is a utility to transform your voice in Darth Vader's.;0;1;0;;;;
Record your voice, press play and listen.;1;1;1;;;;
Also VaderVoice includes a little synth:;0;1;0;;;;
VaderSynth to fine tune the Lord Sith's effect to you.;0;0;0;;;;
You have to find the best equalization for your voice.;0;1;0;;;;
Impress your geekest friends with VaderVoice!;0;1;0;;;;
Be Star Wars' biggest freaky!!;0;0;0;;;;
VaderVoice needs SD Card with at least 300Kb of free space in it to work properly.;0;1;0;;;;
If you like VaderVoice, dont't forget clicking ads!;0;1;0;;;;
New features coming soon;0;0;0;;;;
Free/Libre Software.;0;0;0;;;;
Source Code at https://rafaeska.es/websvn;0;0;0;;;;
Note:if you hear Vader breath only, try increasing ring volume;0;0;0;;;;
Recent changes:;0;0;0;;;;
New default equalization values;0;0;0;;;;
Better error handling;0;0;0;;;;
Fix two bugs;0;0;0;;;;
Subversion URL updated in 'About';0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##rubberbigpepper.Megaphone;0;0;4;;;;
##\APPLICATION\TOOLS\_desc.txt;0;0;4;;;;
Not for dummies!;0;0;0;;;;
A simple program to turn your phone into a horn(loud speaker) or megaphone.;1;0;0;;;;
Recent changes:;0;0;0;;;;
added bluetooth handset support;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.irilya.pasman.droid;0;0;4;;;;
##\APPLICATION\COMICS\_desc.txt;0;0;4;;;;
Vas a poder encontrar todas las frases del Tano Pasman en esta aplicacion, asi como tambien lo podes hacer en www.elgritodepasman.com.ar No solo eso!, en breves, te vas a poder armar, con esta aplicacion, tu propio ringtone y subirlo al sitio!!!;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.kauf.soundmaker.stein.PhoneSecurityAlarmSystem;0;0;4;;;;
##\APPLICATION\ENTERTAINMENT\_desc.txt;0;0;4;;;;
An alarmm sound will play when a voice/noise is too loud, on movement or on touch.;1;1;1;;;;
Features;0;0;0;;;;
High quality sounds;0;0;0;;;;
Nice graphics;0;0;0;;;;
Highly ergonomic;0;0;0;;;;
3 different activation methods;0;0;0;;;;
All configurable;0;0;0;;;;
Many different sounds etc.;0;0;0;;;;
Fool your friends with this cool and funny app!;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.bork.dsp.datuna;0;0;4;;;;
##\APPLICATION\MUSIC_AND_AUDIO\_desc.txt;0;0;4;;;;
DaTuner (Lite) is an all-purpose, precise and responsive chromatic tuner app for android with a simple interface.;0;0;0;;;;
"DaTuner Pro (the paid version) was recently reviewed by Android Central: ""For the Android-loving musician, I think DaTuner Pro is easily the best tuner you can have on your device.";0;0;0;;;;
"I used to give that title to see review!, but DaTuner has proven to be so powerful, easy to use, and accurate, it'd be foolish to not use it.""";0;0;0;;;;
http://www.androidcentral.com/android-app-review-tuner-datuner-pro;0;0;0;;;;
DaTuner displays the nearest note and error in cents for quick and easy tuning of your guitar, ukelele, violin, bass, cello, mandolin, piano, harp, saxophone, balafone, motorbike timing belt, wheel spoke, harmonica, kazoo, you name it.;0;0;0;;;;
Not worth five stars?;0;0;0;;;;
Please email me and let me know why!;0;0;0;;;;
I can not improve it if I don't know what to improve!;0;0;0;;;;
Thanks!;0;0;0;;;;
DaTuner displays nearest note and octave in a giant, easy to read font in the center of the screen, and the fundamental frequency in Hertz is displayed at the bottom of the screen.;0;0;0;;;;
Error in cents is shown graphically at the bottom of the screen.;0;0;0;;;;
Microphone sensitivity is auto-adjusted, but can also be adjusted by touch via a bar on the left-hand side of the screen, and the speed/accuracy of the algorithm and the relative frequency (if other than 440Hz, for orchestra tuning and transposition) can be adjusted via the menu.;1;1;0;;;;
"There is no ""dead zone"" with DaTuner; instead, the whole display turns green when the incoming frequency is within a configurable range of the target frequency and you can still see small changes in pitch even within the ""in-range"" area.";0;0;0;;;;
Features:;0;0;0;;;;
1) Reference frequency adjustment for orchestra tuning.;0;0;0;;;;
2) Auto-Sensitivity no configuration required.;0;0;0;;;;
3) Bright, easy-to-read display.;0;0;0;;;;
4) Quick, accurate and precise.;0;0;0;;;;
< 0.3 cents @ E3 (329.62Hz), <0.1 cents @ C5(1046.5Hz), < 1 cent @ A2 (110Hz);0;0;0;;;;
5) No dead zone screen changes to green when tuning is good.;0;0;0;;;;
6.) Ad-free!;0;0;0;;;;
NEW FEATURES New features on the way in are tested first in the 'beta' version.;0;0;0;;;;
Feel free to try that one if you don't mind frequent updates and perhaps a few extra crashes, and a feature set that might change a lot from update to update.;0;0;0;;;;
KNOWN ISSUES;0;0;0;;;;
twitcheyness: try increasing the averaging time.;0;0;0;;;;
lagginess: try decreasing the averaging time.;0;0;0;;;;
"or switch the algorithm to ""responsive""";0;0;0;;;;
Signal strength bar sometimes has a low refresh rate.;0;0;0;;;;
This doesn't seem to happen in the beta or donate versions, and I am working on it.;0;0;0;;;;
Recent changes:;0;0;0;;;;
"Added the ""lock"" bar to the free version, to assist tuning in a noisy room.";0;0;0;;;;
Filter Lock to the note you want to tune to and noise outside the range of that note will be ignored.;0;0;0;;;;
Built the executable with a newer SDK and with newer native libraries.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##radonsoft.net.spectralview;0;0;4;;;;
##\APPLICATION\MUSIC_AND_AUDIO\_desc.txt;0;0;4;;;;
Free real-time audio analyser with 8 kHz spectral bandwidth.;0;1;0;;;;
Display any sort of audio from the microphone as a coloured spectrogram.;1;1;0;;;;
Identify environmental noise, search for annoying tones, view harmonic patterns of instruments and voices, analyse the frequency range of your speaker....;0;1;0;;;;
Bugs and feedback to: info@radonsoft.net;0;0;0;;;;
Recent changes: Version 1.5:;0;0;0;;;;
Native support for large screens and tablets.;0;0;0;;;;
Updated to Android 2.3 with support for Android 3.x;0;0;0;;;;
Minor bug fixes Version 1.61:;0;0;0;;;;
support fo sd-install;0;0;0;;;;
crash when pausing app fixed Thanks to all that contributed!;0;0;0;;;;
Enjoy!;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.radioactiveyak.animaltranslator;0;0;4;;;;
##\APPLICATION\COMMUNICATION\_desc.txt;0;0;4;;;;
"Fresh from its starring role as Google UK's 2010 April Fool's Day Joke, Animal Translator promised to ""Recognise and transcribe words and phrases that are common to an animal species"".";0;0;0;;;;
Still extremely effective as a gullibility detector.;0;0;0;;;;
Content rating: Not rated;0;0;0;;;;
##appmyphone.audioequalizerlite;0;0;4;;;;
##\APPLICATION\MUSIC_AND_AUDIO\_desc.txt;0;0;4;;;;
Have you ever wondered what the frequency of your voice looks like?;0;1;0;;;;
Do you want your phone to beat with the music?;0;0;0;;;;
Now you can do it all with Audio Equalizer Lite.;0;1;0;;;;
Crank up the tunes or try it out with your own voice.;1;1;1;;;;
Lite version lets you change all the setting that can be changed in the full version but you can only equalize for 15 seconds.;0;0;0;;;;
You can change the number of bins, volume level, background image, and special effects.;0;0;0;;;;
Also the full version does not contain any advertisements.;0;0;0;;;;
Note:;0;0;0;;;;
Some Samsung phones have HW audio problems, please do not give bad rating if your Samsung phone does not work.;0;1;0;;;;
Recent changes: Fixed some of the force close issues.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##usbwebcam.application;0;0;4;;;;
##\APPLICATION\COMMUNICATION\_desc.txt;0;0;4;;;;
Use your phone as a USB Webcam on your PC!;1;0;0;;;;
Save $ and reduce clutter!;0;0;0;;;;
IMPORTANT: Must also install on Windows PC at http://www.placaware.##com.;0;0;0;;;;
Find instructions, compatibility, faq, etc.;0;0;0;;;;
Somewhat of a prototype.;0;0;0;;;;
Send your experience to placaware@gmail.com!;0;0;0;;;;
http://www.placaware.com;0;0;0;;;;
Content rating: Not rated;0;0;0;;;;
##com.schass.recording.audio;0;0;4;;;;
##\APPLICATION\MEDIA_AND_VIDEO\_desc.txt;0;0;4;;;;
Simple application that records everything passing through the mic and saves it on your sd-card.;1;1;1;;;;
You may play, delete and rename the audio files from within the application.;0;1;1;;;;
While recording you can also press the home key to continue recording as a background application.;0;1;0;;;;
Recording limit: 24h.;0;1;0;;;;
Mail me if any questions.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.jtxdriggers.android.ventriloid;0;0;4;;;;
##\APPLICATION\COMMUNICATION\_desc.txt;0;0;4;;;;
Ventriloid is an open source Ventrilo 3.x client with a familiar UI.;0;0;0;;;;
Ventriloid is based on the Ventrilo library for Linux created by the developers of Mangler.;0;0;0;;;;
I am in no way affiliated with Mangler, its developers, or Flagship Industries, Inc.;0;0;0;;;;
Recent changes: Now Ad-free!;0;0;0;;;;
Thank you all for your continued support!;0;0;0;;;;
Content rating: Not rated;0;0;0;;;;
##com.innoit.powerfulLieDetectorFree;0;0;4;;;;
##\APPLICATION\TOOLS\_desc.txt;0;0;4;;;;
Powerful Lie Detector Free;0;0;0;;;;
A powerful and simple voice stress detector Powerful Lie Detector Free detects a voice stress using an algorithm to measure a microtremors.;0;1;0;;;;
"Simple as it should be: Click ""Start Test"" near a person or while on a call.";0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##rubberbigpepper.Looper;0;0;4;;;;
##\APPLICATION\MUSIC_AND_AUDIO\_desc.txt;0;0;4;;;;
This is a simple drum machine for beatboxers.;0;0;0;;;;
Beatboxers!;0;0;0;;;;
It is finished!;0;0;0;;;;
Now you can create music from the loop entries on your phone, the main thing that it was based on the Android OS.;0;0;0;;;;
You do not need to buy Korg Kaoss Pad;0;0;0;;;;
The application is called Looper, it has the ability to record six tracks in length from 1 to 32 beats, you can also choose the speed of the metronome, you can combine multiple tracks into one.;1;1;0;;;;
Delete track that you do not like, and in its place, create a new one!;0;0;0;;;;
Be creative, create, and once more to create!;0;0;0;;;;
And then let's listen to friends, app can save your creativity in a format mp3.;0;0;0;;;;
Unlike Korg Kaoss Pad 3, the application is not able to add sound effects, but this is only the first version of the program.;0;0;0;;;;
Features:;0;0;0;;;;
record and playback up to 6 tracks, if not sufficient, then drag'n'drop one track to another, they will merge into one;0;1;0;;;;
record from microphone and simultaneous playback of other tracks (only when using a wired headset);1;1;1;;;;
selecting the number of bits recorded record;0;1;0;;;;
flashing color rate;0;0;0;;;;
saving composition to MP3 file (files folder /sdcard/Looper);0;0;0;;;;
Recent changes:;0;0;0;;;;
added preloops (samples);0;0;0;;;;
audible metronome;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.intonow;0;0;4;;;;
##\APPLICATION\ENTERTAINMENT\_desc.txt;0;0;4;;;;
Best smartphone app of 2011;0;0;0;;;;
Time Magazine IntoNow from Yahoo makes watching TV more engaging, social, and fun : using a little bit of magic.;0;0;0;;;;
Just tap the green button when you're watching TV- whether live or recorded : and IntoNow will identify the show and reward you with related content, personalized recommendations, and discussions to connect with friends.;0;1;0;;;;
I was amazed to the point where I was dumbfounded â€” MG Siegler at TechCrunch Share what you're watching on Facebook and Twitter and get alerts whenever you and a friend are watching the same show at the same time.;0;0;0;;;;
Use IntoNow to discover new shows, discuss your favorites with your friends, and learn more about whatever you're into now!;0;0;0;;;;
Features:;0;0;0;;;;
Identify live TV, or anything that's run on TV in the last five years, from your television, computer or mobile device.;0;0;0;;;;
Find out who else of your friends are also watching;0;0;0;;;;
Get live scores and stats for NFL games, tweets from actors, and articles related to whatever's being talked about on the news right now;0;0;0;;;;
Get full episode and cast information, as well as info on future airings.;0;0;0;;;;
Receive notifications when your friends are watching the same episode or show.;0;0;0;;;;
Comment on what your friends are watching in the app,or on Facebook and Twitter.;0;0;0;;;;
One-click access to IMDb,Netflix,and iTunes so you can learn more or start watching right away.;0;0;0;;;;
Add new friends using Facebook,Twitter,your address book,or search by name?;0;0;0;;;;
Video: http://www.youtube.com/watch?v=GmEiE4qcV3k;0;0;0;;;;
Video review: http://www.youtube.com/watch?v=-O5CmgrutH0;0;0;0;;;;
A built-in or external microphone is required.;1;1;1;;;;
Recent changes: Our biggest Android update yet!;0;0;0;;;;
We've added synchronized news headlines, in-depth sports stats for NFL, and tweets from your favorite actors.;0;0;0;;;;
Now you can star your favorite shows and see your friends' favorites.;0;0;0;;;;
We've also added Facebook single sign-on and made a bunch of bug fixes and stability improvements We hope you enjoy!;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.appspot.swisscodemonkeys.steam;0;0;4;;;;
##\APPLICATION\ENTERTAINMENT\_desc.txt;0;0;4;;;;
Get your phone steamy with this fun new app.;0;0;0;;;;
The steam covers the whole screen and you can wipe it off again with your fingers.;0;0;0;;;;
Rainy weather on your phone, lots of fun!;0;0;0;;;;
One of the classic free fun apps available for Android.;0;0;0;;;;
Features:;0;0;0;;;;
Moving waterdrops form under your finger when you wipe the foggy window;0;0;0;;;;
The water drops formed from the fog always run down, even if you turn your phone;0;0;0;;;;
Select a custom fun background image to wipe off the water (in the menu);0;0;0;;;;
Blow into the microphone to add back hot steam to the screen;1;1;0;;;;
"Use the volume buttons on your phone to switch to ""frozen window"" (with an ice effect on your phone screen) or ""sandy window"", where your phone is covered with a layer of sand.";0;0;0;;;;
Go to Preferences (menu) / Calibrate if there are microphone problems.;0;1;0;;;;
Doesn't need root, but this app won't allow you to take a screenshot.;0;0;0;;;;
This is just a little fun app, great for children, or for pretending water got in your phone during rainy weather!;0;0;0;;;;
Have fun!;0;0;0;;;;
Recent changes:;0;0;0;;;;
Sand and ice (use volume buttons!);0;0;0;;;;
Better rain picture.;0;0;0;;;;
"Use ""calibration"" from preferences to adjust microphone level if blowing doesn't work.";0;1;0;;;;
Content rating: Everyone;0;0;0;;;;
##urbanstew.RehearsalAssistant;0;0;4;;;;
##\APPLICATION\MEDIA_AND_VIDEO\_desc.txt;0;0;4;;;;
Voice / Audio recorder (open source);1;1;1;;;;
organize recordings in projects;0;1;0;;;;
use Memo projects to record reminders, lists;0;1;0;;;;
use Session projects to annotate events;0;0;0;;;;
uncompressed WAV recording (see Settings);0;1;0;;;;
pause & seek in playback;0;0;0;;;;
e-mail recordings;0;1;0;;;;
add text labels;0;0;0;;;;
"open with Ringdroid 0.9: more robust; upload to SoundCloud";0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##hu.leoburnett.gingerbreadize;0;0;4;;;;
##\APPLICATION\COMICS\_desc.txt;0;0;4;;;;
This time you don't need to be a chef to make your very own christmas gingerbread.;0;0;0;;;;
You won't need an oven either just some creativity.;0;0;0;;;;
The recipe Ingredients: 1 phone 3 minutes;0;0;0;;;;
Take a picture of yourself with your phone.;0;0;0;;;;
Now it's time to get yourself in shape!;0;0;0;;;;
Grab the rolling pin and move it to stretch the dough.;0;0;0;;;;
Now you can be anything you want to be.;0;0;0;;;;
Angel, deer, snowman, choose a shape.;0;0;0;;;;
Blow your microphone to make heat and start baking.;1;1;1;;;;
But be careful and don't loose your temper.;0;0;0;;;;
Choose your decoration.;0;0;0;;;;
Choose the plate.;0;0;0;;;;
It's done.;0;0;0;;;;
Serve hot to your friends via Facebook, mail or MMS.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##org.pcgod.mumbleclient;0;0;4;;;;
##\APPLICATION\COMMUNICATION\_desc.txt;0;0;4;;;;
This is the Android Mumble Client.;0;0;0;;;;
Mumble is a VoIP based communication system very similar to Ventrilo and Team Speak.;1;0;0;;;;
I JUST SHARE THIS APP, DID NOT MAKE THIS;0;0;0;;;;
Content rating: Not rated;0;0;0;;;;
##com.DanielBach.FrequenSee;0;0;4;;;;
##\APPLICATION\MUSIC_AND_AUDIO\_desc.txt;0;0;4;;;;
See your voice, music or test your audio equipment.;0;1;0;;;;
See whatever your microphone can hear!;1;1;1;;;;
This real-time spectrum analyzer / audio visualizer features:;0;1;0;;;;
128 high-quality frequency bands [20Hz to 22kHz];0;0;0;;;;
Logarithmic frequency scale to match human perception;0;0;0;;;;
High framerate to see smooth frequency and amplitude movements;0;0;0;;;;
Low latency for high responsiveness;0;0;0;;;;
High performance native code using OpenGL ES 2.0;0;0;0;;;;
FFT window size 2048 @ 43 frames per second;0;0;0;;;;
Note:;0;0;0;;;;
The internet permissions are used for ads.;0;0;0;;;;
Any feedback is welcome.;0;0;0;;;;
Recent changes:;0;0;0;;;;
Added sensor-landscape mode for android 2.3+.;0;0;0;;;;
This means the screen gets rotated by 180 degree if you change the orientation of your device.;0;0;0;;;;
