 ;Manually Marked;Keyword-based Searching;Tool;0: false    1-2-3: true    4:not applicable;;;
Build in Moon Phase Calendar to display moon phase of any day graphically(Pro version) Simple, ergonomic design and intuitive navigation.;1;1;1;;;;
Users can perform most of their operations by clicking or long click UI elements.;0;0;0;;;;
4x1 week view widget and 4x4 month view widget support(pro only).;0;1;0;;;;
The app is also Android PAD ready.;0;0;0;;;;
Multiple languages support: English,  Deutsch, italiano, Nederlands, polski,, svenska, norsk, dansk,  and suomi.;0;0;0;;;;
resizeable widget DO NOT move it to sd;0;0;0;;;;
To learn more, please visit our Checkmark Calendar web site: calendar.greenbeansoft.com;0;1;0;;;;
Recent changes: 1.;0;0;0;;;;
Fixed Force Close issue for Android OS 4.0 or higher.;0;0;0;;;;
Added an option in settings window to show or hide week number.;0;0;0;;;;
Fixed a event display issue in Month view.;1;1;1;;;;
Fixed a month display issue in 4x1 widget header.;0;1;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.gau.go.launcherex.gowidget.calendarwidget;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
GO Calendar widget brings the calendar and the agenda to your home screen.;1;1;1;;;;
It was designed to make it more simple and faster to work with your calendar.;1;1;1;;;;
Two different views (month and agenda) give you a good overview to your upcoming events.;1;1;1;;;;
It also supports showing Chinese Lunar and Moon phase.;1;0;0;;;;
Compare to the traditional calendar widget, it supports switching between months by flipping like a real calendar.;1;1;2;;;;
Moreover, like other GOWidgets, theme is also supported.;0;0;0;;;;
To make it work, you must install the latest version of GO Launcher EX which is the most popular home launcher app in Android Market.;0;0;0;;;;
Available Size: 4x3 2x2 Actions:;0;0;0;;;;
View month;1;1;0;;;;
View agenda;1;0;1;;;;
Flip;0;0;0;;;;
Add agenda;1;0;1;;;;
View Chinese Lunar;0;0;0;;;;
View Moon phase;0;0;0;;;;
How to add GOWidget to your home screen;0;0;0;;;;
Press the GOwidget option and choose the widget you like.;0;0;0;;;;
Make sure you have enough room for the widget.;0;0;0;;;;
Keywords: GOWidget, GO Launcher EX, Calendar, Agenda, Lunar, Moon Phase;0;0;0;;;;
Recent changes: 1.;0;0;0;;;;
(Improve) The 43 Style can show the Schedule in the 4.0 ICS.;1;0;1;;;;
(Improve)The schedule list can show the tasks in 30 days.;1;1;1;;;;
Content rating: Everyone;0;0;0;;;;
##com.earleyholdings.icsbot2;4;0;4;;;;
##\APPLICATION\BUSINESS\ desc.txt;4;0;4;;;;
This is the original ICS BOT published by Elliott Hughes.;0;0;0;;;;
Due to time the application was taken down but is now back up.;0;0;0;;;;
ICS BOT 2 imports vCalendar files into the Android Calendar.;1;1;1;;;;
Please post any issues in the comments and I will address them as quickly as I can.;0;0;0;;;;
I also have a issue tracker you can post to here: https://github.com/rearley/ICSBotII/issues icsbot, ics bot, ics import, vcalendar import, ics importer;0;1;1;;;;
Recent changes:;0;0;0;;;;
Fixed FC seen on HTC Devices;0;0;0;;;;
Fixed Timezone being left out of the import.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##vn.evolus.lichviet;4;0;4;;;;
##\APPLICATION\LIFESTYLE\ desc.txt;4;0;4;;;;
Content rating: High Maturity;0;0;0;;;;
##uk.co.olilan.touchcalendar.trial;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
See your whole calendar at a glance.;1;1;1;;;;
No more flipping between different calendar views.;0;1;0;;;;
Touch Calendar does it all from one zoomable and scrollable view.;0;1;1;;;;
Rated 95% by reghardware.com ( http://goo.gl/vlIa5 ) and 9/10 by WIRED ( http://goo.gl/lLPoa ).;0;0;0;;;;
Touch Calendar works with Google Calendar and any other calendars your phone supports, and the app features calendar search and custom repeating events;1;1;3;;;;
biweekly, bimonthly).;0;1;0;;;;
For home screen widgets or to support the developer, please purchase the full version of Touch Calendar.;0;1;0;;;;
Touch Calendar is easy to use:;0;1;0;;;;
doubletap or pinch zoom to zoom in;0;0;0;;;;
tap an event to see its details , then press MENU to edit or delete it;0;1;0;;;;
tapandhold on a date to add a new event;0;1;0;;;;
touch to scroll as much as you want, both forwards and backwards;0;0;0;;;;
jump to today, or to any date from the menu;0;1;0;;;;
earch by pressing your phone search button or from the menu;0;0;0;;;;
calendar s  set the font size and default zoom level from the Settings;0;1;1;;;;
home screen widgets (buy the full version) Zoom and scroll your calendar with complete freedom;1;1;1;;;;
Note: Text colour for events comes from the calendar colour.;1;1;1;;;;
Set up different colours for events in Google Calendar and they'll appear in Touch Calendar automatically.;1;1;1;;;;
Permissions: read and write calendar are required of course, and also read contacts so guests can be invited to events.;1;1;1;;;;
Recent changes: 1.0.19:;0;0;0;;;;
Autocomplete now works in the Guests field.;0;0;0;;;;
"Note: making this work required adding the ""access contacts"" permission to the app";0;0;0;;;;
Fix for several force close issues;0;0;0;;;;
Compatibility changes for ICS 1.0.18:;0;0;0;;;;
Visual update: new cleaner look;0;1;0;;;;
New colour scheme: blue and white  Zoom buttons now off by default on Android 2.0 (can be turned back on in settings);0;0;0;;;;
Fix for goto wrong date issue  Fix for allday bubbles sometimes not displaying properly;0;1;0;;;;
Content rating: Everyone;0;0;0;;;;
##dk.alxb.calendardroid;0;1;0;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
Calendar Droid is a calendar app that let you see your synced calendars on your phone.;1;1;1;;;;
Works with all synchronized calendars like Google Calendar, Exchange, Facebook, etc.;1;1;1;;;;
The philosophy behind this app is a calendar that is easy to use, clean, intuitive, and highly customizable.;0;1;0;;;;
Calendar Droid is still in BETA.;0;1;0;;;;
This means the app is actively being developed and improved.;0;0;0;;;;
This also means that I would really like some feedback from you.;0;0;0;;;;
Please email me with your suggestions, experiences, or bugs.;0;0;0;;;;
I cannot respond in comments.;0;0;0;;;;
Please remember to rate Calendar Droid.;0;1;0;;;;
The more people using it the more it will be improved.;0;0;0;;;;
Help spread the word.;0;0;0;;;;
FEATURES: Month View / Week View / Day View / Agenda View / Weeks View View eventsAdd/edit events Some settings to customize BEFORE RELEASE: Removal of all bugs Selection of shown and synchronized calendars Your suggestions tons now off b;0;1;0;;;;
FUTURE PAID VERSION (Probably around 23 USD): Advanced recurrence rules (biweekly etc) Copy paste of events Change calendar colors Search events Color themes Widgets on of shown;0;1;0;;;;
PERMISSIONS:  FULL INTERNET ACCESS Calendar Droid is in BETA and I need all the feedback I can get from you. nt;0;1;0;;;;
The internet permission is used to submit anonymous error reports if the app crashes.;0;0;0;;;;
No personal information is transmitted.;0;0;0;;;;
The permission will be removed when the app is released as version 1.0.;0;0;0;;;;
READ CONTACT DATA If you have any guests (or attendees) on an event and you have that person in your contacts the app will read information from that contact and show it when viewing an event. d;0;1;0;;;;
"The contact picture will show up and then clicked will take you to the default ""contact clicked"" scenario.";0;0;0;;;;
I know this permission looks bad together with internet access but I do not store nor send any contact info.;0;0;0;;;;
Only contacts that are guests to viewed events are read.;0;1;0;;;;
READ CALENDAR EVENTS This should be obvious.;1;1;1;;;;
ADD OR MODIFY CALENDAR EVENTS AND SEND EMAIL TO GUESTS;1;1;1;;;;
"Read the description again and see if you can spot what this is used for ;)";0;0;0;;;;
Again, this should be obvious. sh;0;0;0;;;;
Calendar Droid needs to change your calendar events.;1;1;1;;;;
"Sending emails to guests is done when putting email addresses in the ""guest"" box when creating an event.";0;1;0;;;;
7 Force close bugs removed (stabilizing)  0.8.0 RC1 Major update. ND;0;1;0;;;;
Recent changes:  0.8.13 RC1 Bug fixes;0;0;0;;;;
"Add/edit event window with ICS style  Week/Day View horizontal swype/scroll rewrite  Attempt at speed improvements  Date Spinner when selecting dates  Delete event from ""long press menu""  Agenda load more events by pressing footer  tons now o";1;1;1;;;;
Content rating: Everyone;0;0;0;;;;
##com.uievolution.android;4;0;4;;;;
##\APPLICATION\SPORTS\ desc.txt;4;0;4;;;;
Pro Wrestling Torch, the leader in pro wrestling journalism since 1987, goes mobile;0;0;0;;;;
Pro Wrestling Torch Mobile keeps uptodate on all of the latest and greatest happenings in the world of all of the top wrestling promotions around the world.;0;1;0;;;;
A passionate staff of expert reporters and analysts provide the latest and breaking headlines, indepth analysis, and exclusive interviews and podcasts;0;0;0;;;;
Find out all of the latest news, interviews, columns, event coverage, and lots more from the top wrestling companies in the world, such as WWE, TNA, ROH, DGUSA, and much more;0;1;0;;;;
News on:  WWE World Wrestling Entertainment;0;0;0;;;;
TNA Total Nonstop Action;0;0;0;;;;
Dragon Gate USA;0;0;0;;;;
Ring of Honor Wrestling;0;0;0;;;;
Chikara Pro;0;0;0;;;;
WWE's Tough Enough;0;0;0;;;;
Wrestling News;0;0;0;;;;
Wrestling Headlines;0;0;0;;;;
Wrestling Match Analysis;0;0;0;;;;
DVD and Video Game Reviews;0;0;0;;;;
...Much, Much More;0;0;0;;;;
"Recent changes:  Improved ""Event Calendar"" functionality.";1;1;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.mmatorch2.android;4;0;4;;;;
##\APPLICATION\SPORTS\ desc.txt;4;0;4;;;;
"MMATorch keeps you up to date with what's happening in the world of Mixed Martial Arts; including interviews, news, and columns on MMA's Top Promotions, such as the UFC, Strikeforce, Bellator, and much more";0;1;0;;;;
With an expert staff of reporters and analysts putting you in the middle of the action, get indepth and behind the scenes news on every major MMA promotion in the world of Mixed Martial Arts today, such as:  UFC;0;1;0;;;;
Strikeforce;0;0;0;;;;
Bellator;0;0;0;;;;
DREAM;0;0;0;;;;
MMA News;0;0;0;;;;
MMA Events;0;1;0;;;;
MMA Analysis;0;0;0;;;;
MMA Reviews;0;0;0;;;;
Ultimate Fighter Coverage;0;0;0;;;;
MMA Interviews;0;0;0;;;;
MMA DVD Reviews;0;0;0;;;;
and many more MMA promotions;0;0;0;;;;
Recent changes: Slight Performance Modifications added to the updated Design.;0;1;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.compusystems.csattendee.e506;4;0;4;;;;
##\APPLICATION\BUSINESS\ desc.txt;4;0;4;;;;
The official attendee app for The Rental Show 2012, ConnectME Mobile is designed to help you create the ultimate show experience.;0;0;0;;;;
In addition to an electronic show guide, this app connects you with exhibitors via an automatic matching component, provides a searchable database of exhibitors, sessions and speakers, lets you create an appointment agenda and receive show organizer updates.;1;1;1;;;;
It never been more convenient to plan a course of action for the show. it;0;0;0;;;;
Show Guide  A searchable, uptodate directory of all exhibiting companies, available sessions and speakers.;0;1;0;;;;
Automated Matching  A listing of exhibiting companies the attendee was matched with during the registration process, based upon registration demographic information.;0;0;0;;;;
Attendees can also search exhibitors and expand their list of matches.;0;0;0;;;;
Appointment Scheduling  Attendees can send and manage appointments with exhibitors.;1;0;1;;;;
Agenda Builder  A complete itinerary of session and exhibitor appointments currently scheduled for the attendee.;1;0;1;;;;
Literature  Attendees can download and view exhibitor electronic literature. en;0;0;0;;;;
Messaging Service  Attendees can receive important and informative messages sent out by the organizer.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##pregnancy.disc.app;0;0;0;;;;
##\APPLICATION\HEALTH AND FITNESS\ desc.txt;4;0;4;;;;
Pregnancy Disc, your journey begins here.;0;0;0;;;;
The most extensive pregnancy tracker in the market.;0;0;0;;;;
A pregnancy app for week by week baby tracking that allows for comprehensive tracking of your pregnancy.;0;0;0;;;;
The application tracks important milestones in this wonderful journey you and your partner go through.;0;0;0;;;;
Information you can expect to have is when the baby heart starts beating, when he or she will start sucking her thumb, and when she or he will start to turn in preparation for birth. le;0;0;0;;;;
Also, great ultrasound 2D and 3D images allow you to impress the stages of your pregnancy.;0;0;0;;;;
Unique features inside this application: Features:;0;0;0;;;;
Pregnancy disc, also known as pregnancy wheel or wheel calculator predicts the dates of your pregnancy, week by week, that way you'll know what the dates are in each pregnancy week and vice versa.;0;1;0;;;;
The disc enables you to plan accordingly your medical appointments, flights, baby showers and so on.;1;0;1;;;;
42 weeks info that provides a wealth of information about your pregnancy, week by week, at your fingertips.;0;0;0;;;;
Everything you need to know prior to birth for you and your partner.;0;0;0;;;;
Great ultrasound 2D and 3D images.;0;0;0;;;;
Calendar integration, creating private notifications within your mobile calendar (e.g.;1;1;1;;;;
Outlook, Gmail, Yahoo etc.).;0;0;0;;;;
That way when ever you'll set an appointment in your calendar you'll know what pregnancy week you're on.;1;1;1;;;;
Pregnancy glossary  An alphabetic list of basic pregnancy terms that are often used in doctor offices, patient leaflets and among health care professionals. ac;0;0;0;;;;
Pregnancy Tips.;0;0;0;;;;
Baby Names.;0;0;0;;;;
To use the pregnancy disc, simply provide one of the following: (i) The date of your last menstrual period, (ii) Your conception date (iii) The expected due date.;0;1;0;;;;
For any question or app related issue, please contact HipoAppsgmail.com;0;0;0;;;;
Recent changes: Ultrasound Gallery with 2D and 3D images.;0;0;0;;;;
Yellow background for unknown gender.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.byte256.calendarwidget2f;4;0;4;;;;
##\APPLICATION\TOOLS\ desc.txt;4;0;4;;;;
This app is to display the calendar on your home screen.;1;1;1;;;;
2x1,2x2,3x3,4x3 size widget.;0;0;0;;;;
One month display.;0;1;0;;;;
How to use: Long press Home screen to add a widget.;0;0;0;;;;
Note: After you update the app, please readd the added widgets.;0;1;0;;;;
This app uses a permissions of INTERNET for Ad.;0;0;0;;;;
Recent changes: Added 2012 holidays data.;0;1;0;;;;
Content rating: Everyone;0;0;0;;;;
##org.withouthat.acalendar;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
aCalendar  the fastest Android calendar FEATURES;0;1;0;;;;
intuitive navigation with smooth transitions;0;0;0;;;;
day, week, month & birthdays view;1;1;0;;;;
Fullscreen Widget;0;0;0;;;;
birthdays & anniversaries with photos from your addressbook;0;1;0;;;;
birthdays editing;0;1;0;;;;
uses Android's native calendar backend and synchronization;1;1;1;;synchronization-sync(0.0);;
no battery drain;0;0;0;;;;
moon phases and zodiac signs for birthdays;0;1;0;;;;
QR/2D Barcode sharing;0;0;0;;;;
12/24h clock honoring system settings;0;0;0;;;;
optimized text display and improved linebreak;0;0;0;;;;
FREE;0;0;0;;;;
no ads USAGE;0;0;0;;;;
move forward and backward by swiping vertically or volume rocker;0;0;0;;;;
switch between views with a horizontal swipe (opens the day or week you start the swipe gesture on) or doubletap for day view;1;1;0;;;;
tap to open event;0;1;0;;;;
longpress to add events;1;1;1;;;;
longpress on minimonth to go to today or jump to date;1;1;0;;;;
contact me if there is a bad translation or you'd like your language added;0;0;0;;;;
tap on photo to open quick contact menu TRANSLATIONS native language support for English, Czech, German, Greek, Spanish, Finnish, French, Hebrew, Italian, Japanese, Korean, Dutch, Polish, Portuguese, Swedish, Turkish and Chinese with more to come;0;0;0;;;;
PERMISSIONS aCalendar only asks for mandatory permissions for its functionality:;0;1;1;;;;
Read and write contact data for birthdays as well as read and write calendar data for events.;1;1;1;;;;
'Send Email to guests' is bound to 'write calendar data' by Google.;1;1;1;;;;
LOVE If you like aCalendar, please rate or comment and recommend it to your friends BETA aCalendar is still beta software. ell;0;1;0;;;;
With close to a thousand different devices and so many Android versions it's impossible for me to test everything.;0;0;0;;;;
So if you find a bug please send me an email to aCalendarAndroidgooglemail.com and I'll try to fix it.;0;1;0;;;;
If you just write a comment I cannot get back to you.;0;0;0;;;;
ROADMAP There are many more features planned, most notably;0;0;0;;;;
more widgets;0;0;0;;;;
no more falling back to default calendar for editing;1;1;1;;;;
agenda view;1;0;1;;;;
Google Tasks integration;0;0;0;;;;
calendar import/export to Facebook, Twitter, NFC, etc.;1;1;0;;;;
Colorcoded categories (requires Android 4.0.3);0;0;0;;;;
other calendar system support (Bah', Chinese, Ethiopian, Hebrew, Indian, Iranian, Islamic, Thai, Zoroastrian);1;1;0;;;;
KEYWORDS Calendar, Kalender, Agenda, Kalend  , Calendrier,    Kalenteri, Birthday, Anniversary;0;1;0;;;;
contact me if there is a bad tra;0;0;0;;;;
aCalendar is free and will stay free and adfree.;0;1;0;;;;
send YOUR feature requests to aCalendarAndroidgooglemail.com FREE;0;1;0;;;;
No features will be taken away, but some advanced calendar features might only come to aCalendar ( Jan'12).;0;1;1;;come-get(1.0);;
Recent changes: Fix all day event creation bug Add left/right swipe action to navigate between events of one days Better recurrence handling;1;1;1;;;;
Many smaller bugfixes Thanks everyone for reporting bugs  YOU make aCalendar better;0;1;0;;;;
Please contact me if there are any problems  I cannot reply to market comments.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.tilglobal.calendar07;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
Planning Work;0;0;0;;;;
Planning Holidays;0;1;0;;;;
Add all your Year2011 and 2012 National Holidays to your Android Calendar.;1;1;1;;;;
Select from over 20 major countries.;0;0;0;;;;
This app is the best tool for all involved in Strategic Planning and Scheduling.;0;0;0;;;;
Use it to make the best of your annual leave.;0;0;0;;;;
(All added holidays can be removed easily).;0;1;0;;;;
"You can install the app, ""Add"" the holiday dates to the calendar, then uninstall the app, the Calendar entries remain, saving your memory.";1;1;1;;fix parser error;;
Easy to use interface and includes the following Countries (Regions): 2011 Holidays: Argentina Australia (ACT) Australia (New South Wales) Australia (Northern Territory) Australia (Queensland) Australia (South Australia) Australia (Tasmania) Australia (Victoria) Australia (Western Australia) Brazil Canada China Denmark Egypt England and Wales France Germany Hong Kong India Indonesia Israel Italy Japan Malaysia Mexico Netherlands New Zealand Northern Ireland Philippines Portugal Republic of Ireland Russia Scotland Singapore South Korea Sri Lanka Sweden Thailand Turkey United States of America 2012 Holidays: Australia(NSW) Australia(SA) Australia(WA) Australia(Vic) England and Wales France India Northern Ireland Republic of Ireland Russia Scotland Sri Lanka United States of America The TIL Global7 Team has searched the official websites of your country to compile this information.;0;1;0;;;;
We are not responsible for your excellence using this tool;0;0;0;;;;
Neither are we responsible for any issues/problems/losses from use of this tool.;0;0;0;;;;
"After installation, select the Year, Country and Click ""Add"" from the menu.";0;1;0;;;;
That's it;0;0;0;;;;
Just select 'Delete' from the menu to instantly remove all added entries.;0;0;0;;;;
KNOWN ISSUES;0;0;0;;;;
There seems to be problem on SOME devices where the dates are offset by a day when added to the calendar.;0;1;0;;;;
If this happens, we would be grateful if you could Email us the details of your device and Android version, so we could isolate the problem and rectify it.;0;0;0;;;;
This seems to be a problem only on SOME devices/platforms.;0;0;0;;;;
It works fine on the majority of phones and all the devices we've tested it on.;0;0;0;;;;
Our apologies for any inconvenience caused but your feedback would be appreciated regarding this.;0;0;0;;;;
Thanks.;0;0;0;;;;
Regards, TIL Global Team.;0;0;0;;;;
Recent changes:  more 2012 dates added 2012: Australia  Queensland, Northern Territory, Tasmania Canada Hong Kong Singapore;0;1;0;;;;
Content rating: Everyone;0;0;0;;;;
##app.calltrack;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
CallTrack logs your phone activity to your Google Calendar.;1;1;1;;;;
You can select the type of calls to log (incoming, outgoing, and missed) and the calendar to log them in.;1;1;1;;;;
You can also dump your current call log to your calendar.;1;1;1;;;;
PLEASE REPORT BUGS TO asterdroid.mobilegmail.com 1.10 Fix for Android 2.2;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.acrea.doodle.android;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
The official Android app of Doodle, the popular online scheduling service.;0;0;0;;;;
It supports the most frequent Doodle use cases:;0;0;0;;;;
Create polls for scheduling events;1;1;1;;;;
View and participate in a poll;0;0;0;;;;
View your calendar during participation;1;1;1;;;;
Edit and delete entries in a poll;0;0;0;;;;
Invite users from your address book;0;0;0;;;;
Close polls;0;0;0;;;;
Add/Delete comments;0;0;0;;;;
Keep the overview of all your polls by using a (free) MyDoodle account QUICK MANUAL:;0;0;0;;;;
Use a (free) MyDoodle account for maximising the value of the app;0;0;0;;;;
Use your phone's menu button to access additional functionality like editing participations or closing polls;0;0;0;;;;
During participation, the app shows you what events you have in your phone's calendars for the corresponding day;1;1;1;;;;
In the settings, you can choose whether the calendar names should be shown;1;1;1;;;;
Use the default Android browser for the initial authorization and opening links to Doodle polls.;0;0;0;;;;
This may not work with every other browser.;0;0;0;;;;
DATA PROTECTION STATEMENT: The data that is displayed from your phone's calendars stays on your phone and is not sent anywhere.;1;1;1;;;;
More features will be added over time.;0;0;0;;;;
Feature requests can be submitted at http://www.doodle.com/about/contact.html.;0;0;0;;;;
This app has been built with the help of Petr Koukal.;0;0;0;;;;
Recent changes:;0;0;0;;;;
Support for the calendar access in Android 4.0;1;1;3;;;;
Fixed a potential crash during authorization;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.joeprogrammer.blik;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY\ desc.txt;4;0;4;;;;
Why use a boring calendar widget that only has words when a cool picture can tell the story;0;1;1;;;;
Use the Blik Calendar Widget and you'll have a great companion to your Calendar app.;1;1;1;;;;
Blik reads your calendar and automatically picks a picture for each event that describes it without words.;1;1;1;;;;
The picture is shown, along with the start time and an important word from the event text so that you can see what's coming up on your calendar.;1;1;1;;;;
You end up with a quick visual guide to your upcoming events.;1;1;1;;;;
"Your calendar has never been easier to ""read"".";1;1;1;;;;
The free/trial version of Blik comes with 350 pictures and 700 keywords rules.;0;0;0;;;;
The Pro version unlocks another 300 keyword rules so that your calendar events are matched up to pictures even better.;1;1;3;;;;
You can create your own keyword rules for single calendar events in the free/trial version and in the Pro version you can create your own keyword rules that apply to all your calendar events.;1;1;1;;;;
Check out the Blik Settings screen under the Help section for helpful Tips (like how to subscribe to a holiday calendar).;0;1;0;;;;
English only for now.;0;0;0;;;;
Keywords: calendar, agenda, birthday, holiday Known issue(s): > Latest update has experimental support for Android 4.0 (ICS).;0;0;0;;;;
Report problems to supportjoeprogrammer.##com.;0;0;0;;;;
Facebook events may be displayed with incorrect starting times.;1;1;1;;;;
Use Blik Advanced Setting value to manually adjust the display for all Facebook start times.;0;0;0;;;;
Facebook declined events will still show up.;1;1;1;;;;
Larger widget sizes can result in outofmemory crashes.;0;0;0;;;;
Daylight Savings Time change.;0;1;0;;;;
If your phone is showing events off by an hour, you may need to power it down and reboot for it to pick up the time change from your cell provider.;1;1;1;;;;
Important Note;0;0;0;;;;
If you are having problems with your calendar events not syncing, go to http://android.joeprogrammer.com/blikhelp/synchelp.html for information and instructions on how to correct the problem.;1;1;1;;;;
Recent changes: 2.4.9 > fix for Presidents Day keyword > menu item added to My Events screen 2.4.8 > EXPERIMENTAL support for Android 4.0 (Ice Cream Sandwich) added.;0;1;0;;;;
To report problems on ICS, send email to supportjoeprogrammer.com with details.;0;0;0;;;;
New look to the My Events screen.;0;1;1;;;;
Bugfix: possible crash when tapping events on the My Events screen fixed.;0;1;1;;;;
Bugfix: widget will now refresh if the time, date, or timezone is changed.;0;1;0;;;;
"Five new pictures added; five updated; more keywords added.";0;1;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.treeapps.es.lgapps.buenosdias;4;0;4;;;;
##\APPLICATION\WEATHER\ desc.txt;4;0;4;;;;
Levntate cada dia con LG ??uenos das , una app on informaci?n meteorol?gica, consejos de salud y agenda de eventos, que har renacer tus amaneceres. ich) adde;0;1;0;;;;
La aplicaci?n ofrece la opci?n de a?adir un widget al escritorio de t Android para que est s siempre informado. vento;0;0;0;;;;
Developed by Treeapps;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.alexd.program.tv;4;0;4;;;;
##\APPLICATION\NEWS AND MAGAZINES\ desc.txt;4;0;4;;;;
TV Guide for Romanian TV Stations Programul TV pentru posturile TV care emit pe teritoriul Romaniei.;0;0;0;;;;
Necesita conexiune la internet.;0;0;0;;;;
Se poate adauga o alarma corespunzatoare Emisiunii care va fi difuzata intrun interval orar pe un post TV.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.zvasvari.anmoneyf;4;0;4;;;;
##\APPLICATION\FINANCE\ desc.txt;4;0;4;;;;
Would you believe there could be a personal finance checkbook and budget app on your phone as powerful as Microsoft Money or Quicken on the desktop;0;0;0;;;;
you are getting a fantastic, powerful application that does a terrifc job of helping you get your finances in order.;0;0;0;;;;
"It's not quite like having an accountant in your pocket, but it's not far off.""";0;0;0;;;;
2011 Android App Guide: http://goo.gl/o9527 Some of the feature highlights include:  Works with your MS Money / Quicken export files.;0;0;0;;;;
(QIF, OFX)  3 widgets  Budget  Recurring and split transactions  support  Integrated with MyBackup Pro Explanation of the various permissions and why they are needed: Permission: Your personal information, add or modify calendar events and send email to guests, read calendar events.;1;1;1;;;;
Password security;0;0;0;;;;
Automatic backup;0;0;0;;;;
Multicurrency;0;0;0;;;;
Custom categories and two classifications;0;0;0;;;;
Reports w/drilldown (export to PDF, CSV, HTML)  Transaction export to QIF, CSV  Honeycomb Android 3.0;0;0;0;;;;
Purpose: Used for creating recurring bill and followup reminders in the phone's calendar.;1;1;1;;;;
