 ;Manually Marked;Keyword-based Searching;Tool;0: false    1-2-3: true    4:not applicable;;;
IAFF Burn Foundation ;0;0;0;;;;
Disaster Relief Fund ;0;0;0;;;;
Fallen Fire Fighter Memorial Foundation ;0;0;0;;;;
John P. Redmond Foundation ;0;0;0;;;;
McClellan Scholarship Fund;0;0;0;;;;
We appreciate your continued support and plan to support this app fully.;0;0;0;;;;
There are many new features and updates planned for the future of the app.;0;0;0;;;;
Special Thanks to Gamma Point LLC (www.gamma-point.com) for all their exceptional work on this project.;0;0;0;;;;
We could not have created this app without their skills and expertise in developing mobile applications.;0;0;0;;;;
Changes in Version 1.1 and 1.2: Bug Fixes, Link to premium key app once the trial period expires.;0;0;0;;;;
Recent changes: NEW FEATURES: ;0;0;0;;;;
-Tapping a date with events on the calendar will show a list of those events for that day instead of taking you to the list view.;0;0;0;;;;
-When you tap and hold on a date on the calendar, the add event screen will pop up.;0;0;0;;;;
After selecting the type of event you want to add, the date will automatically be preset to the date you originally tapped.;0;0;0;;;;
BUG FIXES: -Fixed an Issue with pay days changing days after a few weeks.;0;0;0;;;;
-Fixed a bug where overtime entries weren't being placed in date order.;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.bbrother.googlevoicebyname;4;0;4;;;;
##\APPLICATION\COMMUNICATION;0;0;4;;;;
Allows you to set rules for which number dialed will use your Google Voice number.;0;1;0;;;;
Specify rules based on area code or by contacts (using contact groups).;1;1;0;;;;
No more annoyance of having to press another button when dialing to choose where to call from!;0;0;0;;;;
1.1.1:Fixed bug that required Area Codes to be enabled to work properly.;0;0;0;;;;
Content rating: Not rated;0;0;0;;;;
##tubin.debts;4;0;4;;;;
##\APPLICATION\FINANCE;0;0;4;;;;
IOU (I owe you) is a debt tracker app for things and money Features:;0;0;0;;;;
Borrow/lend things and money ;0;0;0;;;;
Partial payments ;0;0;0;;;;
Debts history ;0;0;0;;;;
Preset and custom currencies ;0;0;0;;;;
Clean and simple UI ;0;0;0;;;;
Email reminders ;0;1;0;;;;
English, Russian, German, Italian localizations;0;0;0;;;;
No ads, enjoy! ;0;0;0;;;;
IOU Pro also includes: ;0;0;0;;;;
Backup, restore, export to CSV ;0;0;0;;;;
Recurring debts ;0;0;0;;;;
Password protection ;0;0;0;;;;
Status bar notifications for overdue debts ;0;0;0;;;;
SMS reminders, custom templates ;0;0;0;;;;
White UI theme ;0;0;0;;;;
Onscreen buttons ;0;0;0;;;;
Contact search ;1;1;1;;;;
Photo attachments;0;0;0;;;;
Please rate if you like and feel free to contact me directly!;0;1;0;;;;
~~tags: debt, debts, loan, group, expenses, track, manager, note, notes, money, payment, reminder, owe, balance, finance, share ;0;0;0;;;;
Recent changes: v2.62 Fixed crash while loading contacts ;1;1;1;;;;
v2.6 Fixed contacts messing up Fixed loading some contacts' pics ;1;1;1;;;;
Option to hide fractional parts (on by default) ;0;0;0;;;;
Displaying initial amounts in history ;0;0;0;;;;
Removed internet access permission ;0;0;0;;;;
v2.5 Removed ads ;0;0;0;;;;
Small screens support ;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.geniteam.filesanywhere;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY;0;0;4;;;;
With FilesAnywhere, you can view, share and manage your remote files directly from your phone.;0;0;0;;;;
Upload your photos and contacts or manage, share, email and fax files wherever you go!;1;1;0;;;;
New users can Sign-up for a free 1000 MB account directly from the application;0;0;0;;;;
Send faxes directly from your app to any fax number, worldwide.;0;1;0;;;;
Recent changes: Updated .NET framework support ;0;0;0;;;;
Fixed uploading from SD card error ;0;0;0;;;;
Fixed download to SD card error ;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.radioactiveyak.wamf;4;0;4;;;;
##\APPLICATION\SOCIAL;0;0;4;;;;
Maps the addresses in your address book, drawing lines and showing distance to each, highlighting your nearest friend as you move.;1;0;1;;;;
Based on sample code used in Professional Android Application Development (ISBN: 978-0-470-34471-2) ;0;0;0;;;;
Update 30/1: Fixed some more Force Close issues.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.skyscape.packageocmktwokqdata.android.voucher.ui;4;0;4;;;;
##\APPLICATION\MEDICAL;0;0;4;;;;
Outlines in Clinical Medicine (OCM) consists of over 850 separate succinct summaries of topics encountered in General Internal Medicine, Internal Medicine Subspecialties, Emergency Medicine and Family Practice.;0;0;0;;;;
Topics in geriatrics, pediatrics, ophthalmology, gynecology, obstetrics, psychiatry, and neurology are also covered in some detail.;0;0;0;;;;
In addition, over 500 Internal Medicine Board's-type review questions (linked to appropriate text) are included to aide in reviewing topics and in preparation for licensing examinations.;0;0;0;;;;
OCMÂ® is updated throughout the year with information from more than seven major medical journal publications including the Journal of the American Medical Association (JAMA), Lancet, New England Journal of Medicine (NEJM) and The Medical Letter, in addition to seminars, review articles, patient care, drug development conferences, and teaching experience.;0;0;0;;;;
New topics: Drugs of Abuse, Insulin, Oral Hypoglycemic Agents, Pediatric Asthma, Schistosomiasis, Epidural Abscess, Smallpox, Pheochromocytoma and Neck Pain ;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.ayelectronics.AppFolder;4;0;4;;;;
##\APPLICATION\TOOLS;0;0;4;;;;
Simplest and easiest way to group icons on your home screen.;0;0;0;;;;
No more messy multiple pages of home screen with bunch of icons.;0;0;0;;;;
You can just group them all now !;0;0;0;;;;
The folder will display the icons of it's contents from the home screen.;0;0;0;;;;
Bookmarks and Contacts shortcuts also available.;1;1;0;;;;
(Permissions are required to get Bookmarks and Contacts);1;1;1;;;;
*** FAQ *** Q.;0;0;0;;;;
How do I change the folder name?;0;1;0;;;;
A.;0;0;0;;;;
Folder name can be changed from the setting window (Setting -> Set Up My Apps -> touch the folder name box) ;0;1;0;;;;
TAG: Folder, Group, Home Screen, Homescreen, Application Folder, Application Group, App Organizer, Folder Organizer, Folder Group, Application Launcher, App Launcher, Launcher, App Folder, iPhone, iPhone Folder, iPhone Group, iPhone Homescreen;0;0;0;;;;
Recent changes: Changes in version 1.22 ;0;0;0;;;;
extended the folder size (each folder can contain up to 20 apps);0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.wbei.toddlercountingflashcardsfree;4;0;4;;;;
##\APPLICATION\EDUCATION;0;0;4;;;;
This is the perfect app to help your baby learn their numbers.;0;1;0;;;;
Most toddlers don't learn their numbers or counting until they are actually in preschool or daycare.;0;1;0;;;;
Your child will learn how to count numbers 1 to 10 while using this fun preschool app.;0;1;0;;;;
This app helps your children develop basic pre-school math easily before even attending preschool!;0;0;0;;;;
Learning numbers, identifying numbers, and counting numbers is important for your kid to develop and grow mentally.;0;1;0;;;;
These numbered flashcards with sound are a joy for most babies and toddlers.;0;1;0;;;;
If you want to teach your toddler to recognize numbers and count, this is the app to help your child achieve that goal!;0;1;0;;;;
Helping your baby with the task of learning numbers and counting 1-10 during this vital period in their life are memories that will last a lifetime.;0;1;0;;;;
That's why we incorporated genuine and authentic toddler voices actually saying the numbers.;0;1;0;;;;
As kids learn to speak and pronounce words there is no denying how cute, sweet, and funny they sound.;0;0;0;;;;
That's what this app brings to you in addition to learning numbers!;0;1;0;;;;
While in the doctors office, shopping, driving, or just trying to get something done;0;0;0;;;;
these cards are sure to keep your toddler busy flipping cards, saying numbers, learning numbers, and counting numbers!! ;0;1;0;;;;
What makes these cards special is that toddlers are included as the narrators and teachers.;0;0;0;;;;
Babies love to hear and play with other children!;0;0;0;;;;
You can select from three narrators to help your child learn to count.;0;0;0;;;;
One of the narrators is an 11 year old just in case you want that crisp clarity, and pronounciation of a well learned instructor;0;0;0;;;;
We have increased the counting range to 100;0;0;0;;;;
Choose to count between four ranges of 10,20,50 and 100 from the settings panel. ;0;0;0;;;;
To navigate the flashcards the swipe screen method and navigational arrow graphics are included, and can be configured from within the settings of the app.;0;0;0;;;;
"WBEI has provided two choices of fonts because sometimes ""Traditional"" fonts are all that's needed, and ""Fancy"" fonts are all that's wanted.";0;0;0;;;;
At the end of the flashcard sequence, selected narrators will sing a short song for you. ;0;0;0;;;;
~~tags: Learn, preschool, numbers, learn, to, count, numbers, 1 to 10, learn how to count, learn numbers, toddler, counting, basic, math, skills, learning numbers, learning counting, baby math, teaching toddlers, toddlers math, learning to count, toddler numbers, toddlers counting, toddler apps, toddler app, app to learn numbers, app to learn counting, baby numbers, baby counting, baby 1 to 10. ;0;0;0;;;;
This is a fully functional FREE version. ;0;0;0;;;;
Recent changes: Fixed issues some users were having with Galaxy S Tablets.;0;0;0;;;;
Added feature to install/move app to SDCard.;0;0;0;;;;
"Upgraded sound engine Added new ""Range"" control in settings panel.";0;0;0;;;;
Extended counting range to 100. Reduced files size Replaced sound engine;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.heuer.clive_free;4;0;4;;;;
##\APPLICATION\APP_WALLPAPER;0;0;4;;;;
Call your favorite contacts in one click, and create nice wallpaper with their photos.;1;1;1;;;;
Contact Live Wallpaper is a live wallpaper that lets you incorporate the photos of your contacts as a wallpaper.;1;1;1;;;;
Besides the artistic side, you can interact with your contacts by touching their photos: it is very simple to call, or send them SMS and emails.;0;1;0;;;;
By default, you have to DOULE-CLICK on the photo to interact with your contact;1;1;1;;;;
1 / You can choose among 15 predesigned backgrounds, and select the contacts to include in the scene, ;1;1;1;;;;
"2 / Or create your own wallpaper from a picture or a photo taken from your camera : You just have to ""tag"" (like photo on facebook) your friends or your family to interact with them.";0;0;0;;;;
"This is the DEMO version, you can only choose among 3 preconceived Wallpaper, and you cannot ""tag"" more than two people on your own pictures.";0;0;0;;;;
A video presentation is available below.;0;0;0;;;;
Advantages : - Low battery consumption.;0;0;0;;;;
Application translated into English and French.;0;0;0;;;;
"***IMPORTANT*** This is not an application but a LiveWallpaper : to launch a LiveWallpaper, go to your home screen, press the ""menu"" button, then press ""wallpaper"" and finally ""Live Wallpapers"".";0;0;0;;;;
~~***IMPORTANT*** ------------- Rank AllYouNeed : (1) Social network (2) Web Browser (3) Gmail (4) Battery Widget (5) Newspapper (6) The Weather Channel (7) Advanced Task Killer (8) Tiny Flashlight LED (9) Angry Birds (10) The GO applications (11) Fruit Slice (12) PicSpeed HD Wallpapers (13) Shazam (14) Google Maps + Street view (15) 2 player Reactor (16) ***Contact Live Wallpaper*** (17) Ringdroid (18) Waze : Community GPS Navigation (19) Pulse News (20) Horoscope (21) Paper Toss (22) Days Left Widget (23) Go!Chat for Facebook (24) Wapedia: Wiki mobile (25) TuneIn Radio (26) Lookout Security - Anti-Virus (27) World News (28) Movies (29) PowerAMP Music Player (30) Documents To Go 3.0 Main App (31) Aldiko (32) Robo Defense Free (33) ES File Explorer (34) Zedge Ringtones - Wallpapers (35) Skype (36) Google Sky Map (37) Runtastic GPS Coach (38) Live Scores (39) K-9 Mail (40) JuiceDefender - battery saver (41) SpeedView (42) AK Notepad (43) QuickPic (44) iBeer Free (45) Drag Toilet Paper (46) Tiny Compass (47) Bubble level (48) Racing Moto (49) Evernote (50) My shopping list (51) iMediaShare (52) Call Control (53) Bubble Blast 2 (54) Quick Settings (55) Adobe Photoshop Express (56) FxCamera (57) Androidify (58) Abduction! (59) Wifi Analyzer (60) Expense Manager (61) xPiano (62) Glow Hockey 2 (63) PicsIn Photo (64) Fake-Call Me - Free Version (65) UltraChron Stopwatch Lite (66) ConnectBot (67) AndFTP (68) Drag Racing (69) HandyCalc Calculator (70) Pool Master Pro (71) BarCode Scanner (72) Foursquare (73) Messenger by Miyowa (74) Pinball (75) Speedtest.net Mobile (76) Jewels (77) Mouse Trap (78) Read It Later Free (79) Sudoku Free (80) Calorie Counter by FatSecret (81) GT Racing: Motor Academy Free+ (82) Astrid Task/Todo List (83) 3D Bowling (84) Bump (85) Instant Heart Rate (86) ConvertPad (87) X Construction Lite (88) Break the Bricks (89) Widget Contacts Favoris (90) LockBot Free (91) TiKL - Touch To Talk (92) Slice It! (93) GPS Status (94) Live Holdem Poker Pro (95) Real BlackJack (96) Gmote 2.0 (97) Noom Weight Loss (98) Kayak (99) Army Sniper (100) Thermometer (101) Qype (102) PhotoWall Live Wallpaper (103) Tank Hero (104) Google Goggles (105) Color Me - Color Splash Effect (106) Talking Tom Cat Free (107) Qik (108) Groupon (109) DrunkBlocker (110) Talking Santa Free ;0;0;0;;;;
Key Words : live wallpaper, contact, tag, photo, beautiful, fond d'ecran animÃ©, cadre, frame, low battery consumption, faible consomation de la batterie, Best of, bestof, indispensable, utile, all you need, top 10, essentiel, all you need, best of application, allyouneed ;0;1;0;;;;
Content rating: Everyone;0;0;0;;;;
##com.tangocard;4;0;4;;;;
##\APPLICATION\SHOPPING;0;0;4;;;;
"""Say bye-bye to a wallet full of unused gift cards"" â€“Mashable The Mobile Gift Card wallet.";0;0;0;;;;
Track, buy, & use gift cards from your Android.;0;0;0;;;;
If you have gift cards, you need Tango Card.;0;0;0;;;;
See why Mashable, The Huffington Post, Forbes, Savvy Sassy Moms, and even Fox Business are all talking about Tango Card.;0;0;0;;;;
"""Tango Card may be at the forefront of [gift card] technology enhancements“ The Huffington Post ";0;0;0;;;;
With Tango Card, you will finally have your gift cards with you whenever you need them!;0;0;0;;;;
Don't forget them or lose value again.;0;0;0;;;;
FEATURES;0;0;0;;;;
Enter all of your gift cards into one mobile wallet;0;0;0;;;;
Instantly check your gift card balance for many cards;0;0;0;;;;
Get automatic reminders to Use Every Penny of your gift cards;0;0;0;;;;
Click on Map Stores to see where you can use your card;0;0;0;;;;
Present barcode or card number in store at checkout;0;1;0;;;;
Buy, send, or redeem the incredibly popular all-in-one Tango Card;0;0;0;;;;
Redeem your Tango Card value instantly for e-Gift Cards from top stores including Amazon, Home Depot, Groupon, REI, Rixty, Nike and Zappos.;0;0;0;;;;
Keep an eye on the Tango Meter and make sure you use your cards before the meter turns red!;0;0;0;;;;
Access your account and cards online at www.tangocard.com ;0;0;0;;;;
A FEW NOTES;0;0;0;;;;
Some stores are not set up to scan barcodes.;0;0;0;;;;
For those that are not, ask them to enter the card number and pin manually.;0;1;0;;;;
They'll catch up.;0;0;0;;;;
Enhanced security requires you to enter a password to access your cards.;0;0;0;;;;
No card numbers are stored on the phone.;0;1;0;;;;
Internet connection required to retrieve card data.;0;1;0;;;;
Balance check not available for all cards.;0;0;0;;;;
Let us know which cards to add next!;0;0;0;;;;
You cannot use the Tango Card directly in-store.;0;0;0;;;;
You must redeem it for a retailer card first.;0;0;0;;;;
CONTACT US: What do you want to see next?;0;1;0;;;;
Give us a shout!;0;0;0;;;;
feedback@tangocard.com ;0;0;0;;;;
Recent changes: Improved user interface for some devices.;0;0;0;;;;
Content rating: Low Maturity;0;0;0;;;;
##com.ViQ.Productivity.MobileNumberTracker;4;0;4;;;;
##\APPLICATION\TOOLS;0;0;4;;;;
Please NOTE:;0;0;0;;;;
This app can detect mobile numbers from Indian mobiles by using codes.;0;1;0;;;;
Are you getting calls from unknown number?;0;1;0;;;;
Do you want to find from where that person is calling?;0;0;0;;;;
Now you can use Mobile Number Tracker to find from which state/telecom operator a mobile number belongs to.;0;1;0;;;;
It shows caller info during incoming call.;0;0;0;;;;
You can also view the details of mobile number in the call log.;0;1;0;;;;
The MNP ported numbers are not traceable by the app.;0;1;0;;;;
Recent changes: Added feature to increase/decrease the time duration of caller information displayed during the incoming call.;0;0;0;;;;
Also minor bug fixes included.;0;0;0;;;;
Thanks for trying out our app.;0;0;0;;;;
Your suggestions are most welcome.;0;0;0;;;;
P.S: The MNP ported numbers are not traceable by the app.;0;1;0;;;;
Content rating: Everyone;0;0;0;;;;
##Driving.Call.Screen;4;0;4;;;;
##\APPLICATION\TRANSPORTATION;0;0;4;;;;
It's uncomfortable to answer incoming calls while driving?;0;0;0;;;;
Use this app: it replaces the incoming call screen or automatically answers the call and enters to loudspeaker mode, so you can pay more attention to driving!;0;0;0;;;;
This widget has 3 states: ;0;0;0;;;;
Disabled ;0;0;0;;;;
Manual;0;0;0;;;;
"it replaces the incoming call screen to screen with large ""accept call"" and ""reject call"" buttons, so you don't need to use ""slide-to-answer"" screen.";0;0;0;;;;
When you accept call, the phone is pushed to loudspeaker mode.;0;0;0;;;;
Auto ;0;0;0;;;;
Automatically answers the call after 5 seconds ringing and pushes phone to loudspeaker mode.;0;0;0;;;;
So you just need to turn it on before driving and off ;0;0;0;;;;
after driving.;0;0;0;;;;
Note!;0;0;0;;;;
Proper work is not guaranteed.;0;0;0;;;;
You should check it before usage (make a call on phone just after installing).;0;0;0;;;;
Tested on SE xperia ray.;0;0;0;;;;
Recent changes: some visual improvements ;0;0;0;;;;
Content rating: Everyone;0;0;0;;;;
##uk.co.olilan.touchcalendar.trial;4;0;4;;;;
##\APPLICATION\PRODUCTIVITY;0;0;4;;;;
See your whole calendar at a glance.;0;0;0;;;;
No more flipping between different calendar views.;0;0;0;;;;
Touch Calendar does it all from one zoomable and scrollable view.;0;0;0;;;;
Rated 95% by reghardware.com ( http://goo.gl/vlIa5 ) and 9/10 by WIRED ( http://goo.gl/lLPoa ).;0;0;0;;;;
